date,count
2020-02-08,494
2020-01-22,467
2020-05-15,458
2020-08-01,450
2020-01-20,441
2020-08-03,441
2020-09-28,440
2020-05-03,439
2020-02-27,435
2020-08-19,431
2020-02-19,430
2020-02-13,429
2020-02-29,429
2020-04-20,429
2020-03-31,428
2020-03-09,426
2020-04-11,425
2020-03-01,425
2020-01-31,424
2020-09-21,422
2020-05-12,421
2020-05-22,417
2020-09-30,415
2020-03-05,414
2020-02-28,414
2020-01-12,414
2020-02-12,414
2020-08-28,413
2020-04-27,412
2020-02-10,412
2020-08-27,411
2020-02-25,411
2020-09-25,410
2020-02-11,409
2020-03-11,408
2020-09-24,407
2020-10-08,406
2020-05-28,406
2020-01-29,405
2020-07-30,405
2020-09-07,405
2020-05-31,404
2020-01-25,403
2020-09-01,401
2020-08-20,400
2020-02-03,398
2020-01-23,397
2020-09-16,397
2020-08-26,395
2020-02-01,393
2020-10-12,393
2020-04-01,391
2020-04-14,391
2020-05-02,391
2020-09-29,390
2020-04-13,390
2020-02-09,390
2020-03-19,390
2020-04-18,389
2020-08-30,389
2020-04-29,389
2020-04-21,387
2020-05-30,387
2020-08-04,387
2020-03-29,386
2020-04-19,386
2020-05-17,386
2020-09-20,385
2020-09-11,385
2020-03-03,383
2020-05-08,383
2020-03-10,383
2020-02-20,382
2020-08-10,381
2020-04-28,381
2020-08-23,381
2020-03-28,380
2020-01-14,379
2020-03-18,379
2020-02-16,378
2020-08-07,378
2020-07-29,377
2020-03-27,376
2020-09-02,375
2020-09-15,375
2020-03-21,375
2020-06-04,375
2020-10-06,373
2020-04-02,373
2020-08-18,372
2020-03-14,371
2020-08-06,371
2020-04-12,370
2020-05-21,370
2020-05-26,370
2020-01-28,370
2020-08-22,369
2020-09-12,369
2020-08-09,368
2020-03-04,368
2020-05-18,367
2020-05-16,367
2020-05-20,367
2020-06-03,366
2020-08-14,365
2020-10-09,364
2020-03-30,364
2020-01-13,364
2020-10-10,364
2020-02-24,364
2020-09-18,361
2020-08-02,361
2020-04-07,360
2020-09-08,358
2020-09-06,358
2020-05-14,358
2020-05-27,357
2020-01-15,357
2020-05-10,357
2020-04-24,356
2020-09-17,356
2020-08-16,355
2020-01-17,354
2020-04-10,354
2020-04-03,353
2020-05-01,353
2020-02-21,353
2020-04-16,352
2020-01-30,352
2020-03-25,352
2020-10-05,350
2020-03-16,350
2020-04-30,349
2020-03-23,349
2020-02-14,349
2020-06-06,349
2020-09-04,348
2020-02-17,347
2020-01-26,346
2020-05-23,346
2020-06-01,346
2020-08-15,344
2020-03-08,344
2020-07-28,344
2020-05-13,343
2020-08-05,343
2020-08-31,342
2020-01-21,341
2020-05-07,341
2020-09-22,341
2020-02-15,341
2020-04-04,340
2020-01-24,340
2020-09-13,340
2020-08-24,339
2020-09-14,339
2020-05-25,339
2020-04-08,339
2020-05-29,339
2020-02-06,339
2020-04-09,338
2020-03-12,338
2020-04-05,338
2020-07-31,338
2020-05-09,337
2020-09-26,337
2020-03-02,337
2020-08-17,337
2020-05-05,337
2020-06-05,336
2020-10-03,336
2020-04-25,335
2020-09-03,335
2020-02-23,335
2020-08-12,334
2020-02-07,334
2020-03-20,334
2020-08-13,333
2020-05-11,332
2020-05-06,331
2020-10-11,331
2020-09-05,328
2020-04-22,328
2020-10-01,328
2020-03-22,327
2020-02-04,324
2020-08-25,324
2020-02-26,324
2020-08-21,323
2020-09-09,322
2020-10-04,321
2020-04-15,320
2020-09-10,319
2020-04-23,319
2020-03-07,319
2020-01-27,318
2020-04-17,318
2020-04-06,317
2020-03-17,317
2020-04-26,317
2020-05-04,316
2020-03-13,316
2020-02-18,315
2020-10-02,314
2020-02-22,314
2020-01-18,314
2020-03-06,314
2020-01-16,312
2020-08-11,311
2020-09-19,311
2020-05-24,308
2020-06-02,306
2020-02-02,306
2020-02-05,297
2020-03-26,295
2020-08-29,293
2020-09-27,292
2020-03-15,292
2020-05-19,291
2020-09-23,290
2020-10-07,288
2020-03-24,287
2020-08-08,282
2020-01-19,260
2020-07-27,247
2020-10-13,207
2020-06-07,124
